"type","Status","Amount_In_Dollars","Market_Title","Market_Id","Original_Date","Filled","Canceled_By_You","Canceled_By_NSF","Canceled_By_Closing","Original_Placed","Remaining","Price_In_Cents","Fee_In_Dollars","Traded_Time","Direction","Settled_Time","Result","Profit_In_Dollars","Yes_Contracts_Owned","Yes_Contracts_Average_Price_In_Cents","No_Contracts_Owned","No_Contracts_Average_Price_In_Cents","Deposit_Type","Last_Updated"
"Trade","","1","Will the **high temp in Austin** be 77-78° on Mar 28 2024?","4df404ba-ee8e-4f37-a044-d613e4b7c53c","Mar 28, 2024","","","","","","","99","0.00","Mar 28, 2024 at 5:21PM EDT","No","","","","","","","","",""
"Trade","","1","Will the **high temp in Austin** be 75-76° on Mar 28 2024?","4b69d64a-2891-4fe7-a8d2-4892434f5150","Mar 28, 2024","","","","","","","99","0.00","Mar 28, 2024 at 5:20PM EDT","No","","","","","","","","",""
"Trade","","1","Will the high temp in Chicago be 52-53° on Mar 28 2024?","57ea25a7-cbc7-4bb5-9376-40c65b83ebd1","Mar 28, 2024","","","","","","","99","0.00","Mar 28, 2024 at 2:47PM EDT","No","","","","","","","","",""
"Deposit","Applied","100","","","February 26, 2024 at 7:38:30 PM EST","","","","","","","","0","","","","","","","","","","ach","February 26, 2024 at 7:38:31 PM EST"
"Deposit","Applied","100","","","February 26, 2024 at 7:38:24 PM EST","","","","","","","","0","","","","","","","","","","ach","February 26, 2024 at 7:38:25 PM EST"
"Deposit","Applied","100","","","February 26, 2024 at 7:38:18 PM EST","","","","","","","","0","","","","","","","","","","ach","February 26, 2024 at 7:38:19 PM EST"
"Deposit","Applied","100","","","February 26, 2024 at 7:38:14 PM EST","","","","","","","","0","","","","","","","","","","ach","February 26, 2024 at 7:38:14 PM EST"
"Deposit","Applied","100","","","February 26, 2024 at 7:38:08 PM EST","","","","","","","","0","","","","","","","","","","ach","February 26, 2024 at 7:38:09 PM EST"
"Deposit","Applied","100","","","February 26, 2024 at 7:38:03 PM EST","","","","","","","","0","","","","","","","","","","ach","February 26, 2024 at 7:38:03 PM EST"
"Deposit","Applied","100","","","February 26, 2024 at 7:37:57 PM EST","","","","","","","","0","","","","","","","","","","ach","February 26, 2024 at 7:37:58 PM EST"
"Deposit","Applied","100","","","February 26, 2024 at 7:37:53 PM EST","","","","","","","","0","","","","","","","","","","ach","February 26, 2024 at 7:37:54 PM EST"
"Deposit","Applied","100","","","February 26, 2024 at 7:37:47 PM EST","","","","","","","","0","","","","","","","","","","ach","February 26, 2024 at 7:37:48 PM EST"
"Deposit","Applied","100","","","February 26, 2024 at 7:37:42 PM EST","","","","","","","","0","","","","","","","","","","ach","February 26, 2024 at 7:37:43 PM EST"
"Deposit","Applied","100","","","February 26, 2024 at 7:37:37 PM EST","","","","","","","","0","","","","","","","","","","ach","February 26, 2024 at 7:37:38 PM EST"
"Deposit","Applied","100","","","February 26, 2024 at 7:37:30 PM EST","","","","","","","","0","","","","","","","","","","ach","February 26, 2024 at 7:37:32 PM EST"
"Deposit","Applied","100","","","February 26, 2024 at 7:37:24 PM EST","","","","","","","","0","","","","","","","","","","ach","February 26, 2024 at 7:37:25 PM EST"
"Deposit","Applied","100","","","February 26, 2024 at 7:37:19 PM EST","","","","","","","","0","","","","","","","","","","ach","February 26, 2024 at 7:37:20 PM EST"
"Deposit","Applied","100","","","February 26, 2024 at 7:37:14 PM EST","","","","","","","","0","","","","","","","","","","ach","February 26, 2024 at 7:37:15 PM EST"
"Deposit","Applied","100","","","February 26, 2024 at 7:37:07 PM EST","","","","","","","","0","","","","","","","","","","ach","February 26, 2024 at 7:37:08 PM EST"
"Deposit","Applied","100","","","February 26, 2024 at 7:36:56 PM EST","","","","","","","","0","","","","","","","","","","ach","February 26, 2024 at 7:36:57 PM EST"
"Deposit","Applied","100","","","February 26, 2024 at 7:36:50 PM EST","","","","","","","","0","","","","","","","","","","ach","February 26, 2024 at 7:36:51 PM EST"
"Deposit","Applied","100","","","February 26, 2024 at 7:36:34 PM EST","","","","","","","","0","","","","","","","","","","ach","February 26, 2024 at 7:36:35 PM EST"
"Deposit","Applied","100","","","February 26, 2024 at 7:36:29 PM EST","","","","","","","","0","","","","","","","","","","ach","February 26, 2024 at 7:36:29 PM EST"
"Order","Filled ","","Will the **high temp in Austin** be 76-77° on Mar 29 2024?","962f9c27-dc98-489a-8587-399f56674099","Mar 29, 2024","1","0","0","0","1","0","","","","","","","","","","","","",""
"Order","Filled ","","Will the **high temp in Austin** be <74° on Mar 29 2024?","86a437c3-4fcd-4b24-bc48-69efc95a322b","Mar 29, 2024","1","0","0","0","1","0","","","","","","","","","","","","",""
"Order","Filled ","","Will the **high temp in Miami** be 77-78° on Mar 29 2024?","154749a8-9f48-4d30-97df-5ea1dedaabeb","Mar 29, 2024","1","0","0","0","1","0","","","","","","","","","","","","",""
"Order","Filled ","","Will the **high temp in NYC** be 55-56° on Mar 29 2024?","d3ef93b8-780f-45df-8a1f-60c6515f3d95","Mar 29, 2024","1","0","0","0","1","0","","","","","","","","","","","","",""
"Order","Filled ","","Will the **high temp in NYC** be 53-54° on Mar 29 2024?","d0a01e7f-6b60-44dd-b2cf-1ba4de673b21","Mar 29, 2024","1","0","0","0","1","0","","","","","","","","","","","","",""
"Order","Filled ","","Will the high temp in Chicago be 54-55° on Mar 29 2024?","6603f717-1ac2-4b7b-95f9-b1fc4f490852","Mar 29, 2024","1","0","0","0","1","0","","","","","","","","","","","","",""
"Order","Filled ","","Will the high temp in Chicago be 48-49° on Mar 29 2024?","7cc296f3-48c2-40a2-9b7a-733d454673dc","Mar 29, 2024","1","0","0","0","1","0","","","","","","","","","","","","",""
"Order","Filled ","","Will the high temp in Chicago be <48° on Mar 29 2024?","51a7403b-3ad6-437d-9eef-8b7385f47297","Mar 29, 2024","1","0","0","0","1","0","","","","","","","","","","","","",""
"Settlement","","","Will the **high temp in NYC** be 53-54° on Mar 28 2024?","","","","","","","","","","","","","2024-03-29T12:00:58.066121Z","no","0.00","1","99.00","0","0.00","",""
"Settlement","","","Will the **high temp in NYC** be 51-52° on Mar 28 2024?","","","","","","","","","","","","","2024-03-29T12:00:58.066121Z","yes","0.00","0","0.00","1","99.00","",""
"Settlement","","","Will the high temp in Chicago be >53° on Mar 28 2024?","","","","","","","","","","","","","2024-03-29T12:00:49.066382Z","no","1.00","0","0.00","1","99.00","",""
"Settlement","","","Will the high temp in Chicago be <46° on Mar 28 2024?","","","","","","","","","","","","","2024-03-29T12:00:49.066382Z","no","0.00","0","0.00","0","0.00","",""
"Settlement","","","Will the high temp in Chicago be 52-53° on Mar 28 2024?","","","","","","","","","","","","","2024-03-29T12:00:49.066382Z","yes","0.00","0","0.00","1","99.00","",""
"Settlement","","","Will the high temp in Chicago be 50-51° on Mar 28 2024?","","","","","","","","","","","","","2024-03-29T12:00:49.066382Z","no","0.00","0","0.00","0","0.00","",""
"Settlement","","","Will the high temp in Chicago be 48-49° on Mar 28 2024?","","","","","","","","","","","","","2024-03-29T12:00:49.066382Z","no","1.00","0","0.00","1","99.00","",""
"Settlement","","","Will the high temp in Chicago be 46-47° on Mar 28 2024?","","","","","","","","","","","","","2024-03-29T12:00:49.066382Z","no","0.00","1","99.00","0","0.00","",""
"Order","Canceled ","","Will the **high temp in NYC** be 55-56° on Mar 28 2024?","da564364-d898-4f53-b6a2-a1bf62210551","Mar 28, 2024","0","0","0","1","1","0","","","","","","","","","","","","",""
"Order","Canceled ","","Will the **high temp in NYC** be 57-58° on Mar 28 2024?","11804d13-ad93-4c02-9da3-78d755492754","Mar 28, 2024","0","0","0","1","1","0","","","","","","","","","","","","",""
"Order","Canceled ","","Will the high temp in Chicago be <46° on Mar 28 2024?","0bfe9937-f190-44e6-a06d-f50ac765a5af","Mar 28, 2024","0","0","0","1","1","0","","","","","","","","","","","","",""
"Order","Canceled ","","Will the high temp in Chicago be 50-51° on Mar 28 2024?","27f3ff52-389c-49ec-a05e-e411864b7ad8","Mar 28, 2024","0","0","0","1","1","0","","","","","","","","","","","","",""
"Order","Filled ","","Will the **high temp in Miami** be >88° on Mar 28 2024?","383aa97a-a3ba-44e0-9dee-e18a2fd2797c","Mar 28, 2024","1","0","0","0","1","0","","","","","","","","","","","","",""
"Order","Filled ","","Will the **high temp in Austin** be >80° on Mar 28 2024?","676497f1-9045-4d81-b1b5-b58036190718","Mar 28, 2024","1","0","0","0","1","0","","","","","","","","","","","","",""
"Order","Filled ","","Will the **high temp in Miami** be 87-88° on Mar 28 2024?","ca239585-556c-4374-b121-a045910cc3f2","Mar 28, 2024","1","0","0","0","1","0","","","","","","","","","","","","",""
"Order","Filled ","","Will the **high temp in Austin** be 77-78° on Mar 28 2024?","4df404ba-ee8e-4f37-a044-d613e4b7c53c","Mar 28, 2024","1","0","0","0","1","0","","","","","","","","","","","","",""
"Order","Filled ","","Will the **high temp in Austin** be 75-76° on Mar 28 2024?","4b69d64a-2891-4fe7-a8d2-4892434f5150","Mar 28, 2024","1","0","0","0","1","0","","","","","","","","","","","","",""
"Order","Filled ","","Will the high temp in Chicago be 52-53° on Mar 28 2024?","57ea25a7-cbc7-4bb5-9376-40c65b83ebd1","Mar 28, 2024","1","0","0","0","1","0","","","","","","","","","","","","",""
"Order","Filled ","","Will the **high temp in Miami** be 83-84° on Mar 28 2024?","8f8b2844-2f16-47cf-84c3-ba1d6ea38b59","Mar 28, 2024","1","0","0","0","1","0","","","","","","","","","","","","",""
"Trade","","1","Will the **high temp in Miami** be 83-84° on Mar 28 2024?","8f8b2844-2f16-47cf-84c3-ba1d6ea38b59","Mar 28, 2024","","","","","","","99","0.00","Mar 28, 2024 at 2:47PM EDT","Yes","","","","","","","","",""
"Order","Filled ","","Will the **high temp in Miami** be 81-82° on Mar 28 2024?","ad078828-e46a-400c-b4ef-1624297c243c","Mar 28, 2024","1","0","0","0","1","0","","","","","","","","","","","","",""
"Trade","","1","Will the **high temp in Miami** be 81-82° on Mar 28 2024?","ad078828-e46a-400c-b4ef-1624297c243c","Mar 28, 2024","","","","","","","99","0.00","Mar 28, 2024 at 2:38PM EDT","No","","","","","","","","",""
"Trade","","1","Will the **high temp in Miami** be 85-86° on Mar 28 2024?","f3400fd3-5f65-47c5-90a2-43031fc2d763","Mar 28, 2024","","","","","","","99","0.00","Mar 28, 2024 at 2:37PM EDT","No","","","","","","","","",""
"Trade","","1","Will the **high temp in Austin** be 73-74° on Mar 28 2024?","bf1b28ef-f6bc-4488-8593-0644fb909790","Mar 28, 2024","","","","","","","99","0.00","Mar 28, 2024 at 2:37PM EDT","No","","","","","","","","",""
"Trade","","1","Will the high temp in Chicago be 48-49° on Mar 28 2024?","257e9c09-d4de-49ce-b3fb-b3bf61fa8a1a","Mar 28, 2024","","","","","","","99","0.00","Mar 28, 2024 at 2:37PM EDT","No","","","","","","","","",""
"Trade","","1","Will the **high temp in NYC** be 53-54° on Mar 28 2024?","927665d7-a0e8-4be4-a90e-85db44addeaf","Mar 28, 2024","","","","","","","99","0.00","Mar 28, 2024 at 2:37PM EDT","Yes","","","","","","","","",""
"Trade","","1","Will the **high temp in Austin** be <73° on Mar 28 2024?","3a2cbbcf-192b-494b-b929-4a5dbc653ab6","Mar 28, 2024","","","","","","","99","0.00","Mar 28, 2024 at 2:35PM EDT","Yes","","","","","","","","",""
"Trade","","1","Will the **high temp in Austin** be 79-80° on Mar 28 2024?","d082c4b9-a983-40bf-aeb4-337d4e666cb3","Mar 28, 2024","","","","","","","99","0.00","Mar 28, 2024 at 2:35PM EDT","No","","","","","","","","",""
"Trade","","1","Will the high temp in Chicago be 46-47° on Mar 28 2024?","472ed366-80c6-48f9-87fd-5e5163beda08","Mar 28, 2024","","","","","","","99","0.00","Mar 28, 2024 at 2:33PM EDT","Yes","","","","","","","","",""
"Trade","","1","Will the high temp in Chicago be >53° on Mar 28 2024?","583e7a16-088d-40f7-acd1-c71adbc03259","Mar 28, 2024","","","","","","","99","0.00","Mar 28, 2024 at 2:33PM EDT","No","","","","","","","","",""
"Trade","","1","Will the **high temp in NYC** be 51-52° on Mar 28 2024?","bdba410a-a103-43ca-b04e-52c93e22486a","Mar 28, 2024","","","","","","","99","0.00","Mar 28, 2024 at 2:31PM EDT","No","","","","","","","","",""
"Trade","","1","Will the **high temp in Miami** be <81° on Mar 28 2024?","672b73a9-3f8d-45f6-90f5-b80268b7344c","Mar 28, 2024","","","","","","","1","0.01","Mar 28, 2024 at 2:27PM EDT","No","","","","","","","","",""
"Trade","","1","Will the **high temp in NYC** be >58° on Mar 28 2024?","3a773fef-ce65-4142-9fb3-f81ebfc01e6c","Mar 28, 2024","","","","","","","1","0.01","Mar 28, 2024 at 2:26PM EDT","No","","","","","","","","",""
"Trade","","1","Will the **high temp in NYC** be <51° on Mar 28 2024?","e2c913e9-6f40-444f-83e9-1a638ab18d59","Mar 28, 2024","","","","","","","1","0.01","Mar 28, 2024 at 2:26PM EDT","No","","","","","","","","",""
"Settlement","","","Will the **high temp in Miami** be >85° on Mar 27 2024?","","","","","","","","","","","","","2024-03-28T12:01:12.218153Z","no","1.00","0","0.00","1","1.00","",""
"Settlement","","","Will the **high temp in Miami** be <78° on Mar 27 2024?","","","","","","","","","","","","","2024-03-28T12:01:12.218153Z","no","1.00","0","0.00","1","50.00","",""
"Settlement","","","Will the **high temp in Miami** be 84-85° on Mar 27 2024?","","","","","","","","","","","","","2024-03-28T12:01:12.218153Z","no","0.00","1","99.00","0","0.00","",""
"Settlement","","","Will the **high temp in Miami** be 82-83° on Mar 27 2024?","","","","","","","","","","","","","2024-03-28T12:01:12.218153Z","yes","0.00","0","0.00","1","99.00","",""
"Settlement","","","Will the **high temp in Miami** be 80-81° on Mar 27 2024?","","","","","","","","","","","","","2024-03-28T12:01:12.218153Z","no","1.00","0","0.00","1","99.00","",""
"Settlement","","","Will the **high temp in Miami** be 78-79° on Mar 27 2024?","","","","","","","","","","","","","2024-03-28T12:01:12.218153Z","no","0.00","0","0.00","0","0.00","",""
"Settlement","","","Will the **high temp in Austin** be >75° on Mar 27 2024?","","","","","","","","","","","","","2024-03-28T12:01:04.218029Z","no","1.00","0","0.00","1","1.00","",""
"Settlement","","","Will the **high temp in Austin** be <68° on Mar 27 2024?","","","","","","","","","","","","","2024-03-28T12:01:04.218029Z","yes","0.00","0","0.00","1","1.00","",""
"Settlement","","","Will the **high temp in Austin** be 74-75° on Mar 27 2024?","","","","","","","","","","","","","2024-03-28T12:01:04.218029Z","no","0.00","1","1.00","0","0.00","",""
"Settlement","","","Will the **high temp in Austin** be 72-73° on Mar 27 2024?","","","","","","","","","","","","","2024-03-28T12:01:04.218029Z","no","1.00","0","0.00","1","1.00","",""
"Settlement","","","Will the **high temp in Austin** be 70-71° on Mar 27 2024?","","","","","","","","","","","","","2024-03-28T12:01:04.218029Z","no","1.00","0","0.00","1","1.00","",""
"Settlement","","","Will the **high temp in Austin** be 68-69° on Mar 27 2024?","","","","","","","","","","","","","2024-03-28T12:01:04.218029Z","no","1.00","0","0.00","1","1.00","",""
"Trade","","1","Will the **high temp in Miami** be 84-85° on Mar 27 2024?","48e3ca38-94ad-45af-8bc7-521e5093b3be","Mar 27, 2024","","","","","","","99","0.00","Mar 27, 2024 at 10:48PM EDT","Yes","","","","","","","","",""
"Trade","","1","Will the **high temp in Miami** be 82-83° on Mar 27 2024?","4d944c57-b077-4f24-b464-7d522017ca12","Mar 27, 2024","","","","","","","99","0.00","Mar 27, 2024 at 10:48PM EDT","No","","","","","","","","",""
"Trade","","1","Will the high temp in Chicago be 43-44° on Mar 27 2024?","2b95aec1-f64d-40bb-a250-267e02dafefe","Mar 27, 2024","","","","","","","99","0.00","Mar 27, 2024 at 10:47PM EDT","No","","","","","","","","",""
"Trade","","1","Will the **high temp in NYC** be >59° on Mar 27 2024?","1e7436ed-92d3-4b7f-957c-87fd909278c4","Mar 27, 2024","","","","","","","99","0.00","Mar 27, 2024 at 10:15PM EDT","No","","","","","","","","",""
"Trade","","1","Will the **high temp in NYC** be 54-55° on Mar 27 2024?","eca696e8-7dff-44ad-829e-5407bfc88364","Mar 27, 2024","","","","","","","99","0.00","Mar 27, 2024 at 6:46PM EDT","No","","","","","","","","",""
"Trade","","1","Will the **high temp in Miami** be 80-81° on Mar 27 2024?","34c88017-92a5-423f-b136-4972aca791fc","Mar 27, 2024","","","","","","","99","0.00","Mar 27, 2024 at 6:46PM EDT","No","","","","","","","","",""
"Deposit","Applied","100","","","February 26, 2024 at 7:36:24 PM EST","","","","","","","","0","","","","","","","","","","ach","February 26, 2024 at 7:36:25 PM EST"
"Deposit","Applied","100","","","February 26, 2024 at 7:36:18 PM EST","","","","","","","","0","","","","","","","","","","ach","February 26, 2024 at 7:36:19 PM EST"
"Deposit","Applied","100","","","February 26, 2024 at 7:36:14 PM EST","","","","","","","","0","","","","","","","","","","ach","February 26, 2024 at 7:36:15 PM EST"
"Deposit","Applied","100","","","February 26, 2024 at 7:36:09 PM EST","","","","","","","","0","","","","","","","","","","ach","February 26, 2024 at 7:36:10 PM EST"
"Deposit","Applied","100","","","February 26, 2024 at 7:36:04 PM EST","","","","","","","","0","","","","","","","","","","ach","February 26, 2024 at 7:36:05 PM EST"
"Deposit","Applied","100","","","February 26, 2024 at 7:35:59 PM EST","","","","","","","","0","","","","","","","","","","ach","February 26, 2024 at 7:36:00 PM EST"
"Deposit","Applied","100","","","February 26, 2024 at 7:35:55 PM EST","","","","","","","","0","","","","","","","","","","ach","February 26, 2024 at 7:35:56 PM EST"
"Deposit","Applied","100","","","February 26, 2024 at 7:35:49 PM EST","","","","","","","","0","","","","","","","","","","ach","February 26, 2024 at 7:35:50 PM EST"
"Deposit","Applied","100","","","February 26, 2024 at 7:35:45 PM EST","","","","","","","","0","","","","","","","","","","ach","February 26, 2024 at 7:35:45 PM EST"
"Deposit","Applied","100","","","February 26, 2024 at 7:35:40 PM EST","","","","","","","","0","","","","","","","","","","ach","February 26, 2024 at 7:35:41 PM EST"
"Deposit","Applied","100","","","February 26, 2024 at 7:35:35 PM EST","","","","","","","","0","","","","","","","","","","ach","February 26, 2024 at 7:35:36 PM EST"
"Deposit","Applied","100","","","February 26, 2024 at 7:35:30 PM EST","","","","","","","","0","","","","","","","","","","ach","February 26, 2024 at 7:35:31 PM EST"
"Deposit","Applied","100","","","February 26, 2024 at 7:35:25 PM EST","","","","","","","","0","","","","","","","","","","ach","February 26, 2024 at 7:35:26 PM EST"
"Deposit","Applied","100","","","February 26, 2024 at 7:35:20 PM EST","","","","","","","","0","","","","","","","","","","ach","February 26, 2024 at 7:35:21 PM EST"
"Deposit","Applied","100","","","February 26, 2024 at 7:35:04 PM EST","","","","","","","","0","","","","","","","","","","ach","February 26, 2024 at 7:35:05 PM EST"
"Deposit","Applied","100","","","February 26, 2024 at 7:35:00 PM EST","","","","","","","","0","","","","","","","","","","ach","February 26, 2024 at 7:35:01 PM EST"
"Deposit","Applied","100","","","February 26, 2024 at 7:34:54 PM EST","","","","","","","","0","","","","","","","","","","ach","February 26, 2024 at 7:34:55 PM EST"
"Deposit","Applied","100","","","February 26, 2024 at 7:34:49 PM EST","","","","","","","","0","","","","","","","","","","ach","February 26, 2024 at 7:34:50 PM EST"
"Deposit","Applied","100","","","February 26, 2024 at 7:34:44 PM EST","","","","","","","","0","","","","","","","","","","ach","February 26, 2024 at 7:34:45 PM EST"
"Deposit","Applied","100","","","February 26, 2024 at 7:34:39 PM EST","","","","","","","","0","","","","","","","","","","ach","February 26, 2024 at 7:34:40 PM EST"
"Order","Filled ","","Will the **high temp in Miami** be 85-86° on Mar 28 2024?","f3400fd3-5f65-47c5-90a2-43031fc2d763","Mar 28, 2024","1","0","0","0","1","0","","","","","","","","","","","","",""
"Order","Filled ","","Will the **high temp in Austin** be 73-74° on Mar 28 2024?","bf1b28ef-f6bc-4488-8593-0644fb909790","Mar 28, 2024","1","0","0","0","1","0","","","","","","","","","","","","",""
"Order","Filled ","","Will the high temp in Chicago be 48-49° on Mar 28 2024?","257e9c09-d4de-49ce-b3fb-b3bf61fa8a1a","Mar 28, 2024","1","0","0","0","1","0","","","","","","","","","","","","",""
"Order","Filled ","","Will the **high temp in NYC** be 53-54° on Mar 28 2024?","927665d7-a0e8-4be4-a90e-85db44addeaf","Mar 28, 2024","1","0","0","0","1","0","","","","","","","","","","","","",""
"Order","Filled ","","Will the **high temp in Austin** be <73° on Mar 28 2024?","3a2cbbcf-192b-494b-b929-4a5dbc653ab6","Mar 28, 2024","1","0","0","0","1","0","","","","","","","","","","","","",""
"Order","Filled ","","Will the **high temp in Austin** be 79-80° on Mar 28 2024?","d082c4b9-a983-40bf-aeb4-337d4e666cb3","Mar 28, 2024","1","0","0","0","1","0","","","","","","","","","","","","",""
"Order","Filled ","","Will the high temp in Chicago be 46-47° on Mar 28 2024?","472ed366-80c6-48f9-87fd-5e5163beda08","Mar 28, 2024","1","0","0","0","1","0","","","","","","","","","","","","",""
"Order","Filled ","","Will the high temp in Chicago be >53° on Mar 28 2024?","583e7a16-088d-40f7-acd1-c71adbc03259","Mar 28, 2024","1","0","0","0","1","0","","","","","","","","","","","","",""
"Order","Filled ","","Will the **high temp in NYC** be 51-52° on Mar 28 2024?","bdba410a-a103-43ca-b04e-52c93e22486a","Mar 28, 2024","1","0","0","0","1","0","","","","","","","","","","","","",""
"Order","Filled ","","Will the **high temp in Miami** be <81° on Mar 28 2024?","672b73a9-3f8d-45f6-90f5-b80268b7344c","Mar 28, 2024","1","0","0","0","1","0","","","","","","","","","","","","",""
"Order","Filled ","","Will the **high temp in NYC** be >58° on Mar 28 2024?","3a773fef-ce65-4142-9fb3-f81ebfc01e6c","Mar 28, 2024","1","0","0","0","1","0","","","","","","","","","","","","",""
"Order","Filled ","","Will the **high temp in NYC** be <51° on Mar 28 2024?","e2c913e9-6f40-444f-83e9-1a638ab18d59","Mar 28, 2024","1","0","0","0","1","0","","","","","","","","","","","","",""
"Settlement","","","Will the **high temp in NYC** be >59° on Mar 27 2024?","","","","","","","","","","","","","2024-03-28T12:00:56.217757Z","no","1.00","0","0.00","1","99.00","",""
"Settlement","","","Will the **high temp in NYC** be <52° on Mar 27 2024?","","","","","","","","","","","","","2024-03-28T12:00:56.217757Z","no","0.00","1","99.00","0","0.00","",""
"Settlement","","","Will the **high temp in NYC** be 58-59° on Mar 27 2024?","","","","","","","","","","","","","2024-03-28T12:00:56.217757Z","no","0.00","0","0.00","0","0.00","",""
"Settlement","","","Will the **high temp in NYC** be 56-57° on Mar 27 2024?","","","","","","","","","","","","","2024-03-28T12:00:56.217757Z","no","0.00","0","0.00","0","0.00","",""
"Settlement","","","Will the **high temp in NYC** be 54-55° on Mar 27 2024?","","","","","","","","","","","","","2024-03-28T12:00:56.217757Z","no","1.00","0","0.00","1","99.00","",""
"Settlement","","","Will the **high temp in NYC** be 52-53° on Mar 27 2024?","","","","","","","","","","","","","2024-03-28T12:00:56.217757Z","yes","0.00","0","0.00","1","99.00","",""
"Settlement","","","Will the high temp in Chicago be >46° on Mar 27 2024?","","","","","","","","","","","","","2024-03-28T12:00:48.217476Z","no","0.00","1","99.00","0","0.00","",""
"Settlement","","","Will the high temp in Chicago be <39° on Mar 27 2024?","","","","","","","","","","","","","2024-03-28T12:00:48.217476Z","no","0.00","0","0.00","0","0.00","",""
"Settlement","","","Will the high temp in Chicago be 45-46° on Mar 27 2024?","","","","","","","","","","","","","2024-03-28T12:00:48.217476Z","no","1.00","0","0.00","1","99.00","",""
"Settlement","","","Will the high temp in Chicago be 43-44° on Mar 27 2024?","","","","","","","","","","","","","2024-03-28T12:00:48.217476Z","yes","0.00","0","0.00","1","99.00","",""
"Settlement","","","Will the high temp in Chicago be 41-42° on Mar 27 2024?","","","","","","","","","","","","","2024-03-28T12:00:48.217476Z","no","1.00","0","0.00","1","1.00","",""
"Settlement","","","Will the high temp in Chicago be 39-40° on Mar 27 2024?","","","","","","","","","","","","","2024-03-28T12:00:48.217476Z","no","1.00","0","0.00","1","99.00","",""
"Order","Canceled ","","Will the **high temp in NYC** be 56-57° on Mar 27 2024?","0c11c8bb-6ba6-4f9b-a91e-3921fe34d2db","Mar 27, 2024","0","0","0","1","1","0","","","","","","","","","","","","",""
"Order","Canceled ","","Will the **high temp in NYC** be 58-59° on Mar 27 2024?","d89b7414-1364-41f6-9391-1f1055f75f06","Mar 27, 2024","0","0","0","1","1","0","","","","","","","","","","","","",""
"Order","Canceled ","","Will the **high temp in Miami** be 78-79° on Mar 27 2024?","ff638a7f-0c47-45d3-9ebb-34efe55be761","Mar 27, 2024","0","0","0","1","1","0","","","","","","","","","","","","",""
"Order","Canceled ","","Will the high temp in Chicago be <39° on Mar 27 2024?","723a69aa-adf1-43e2-bd8b-3773f797dd67","Mar 27, 2024","0","0","0","1","1","0","","","","","","","","","","","","",""
"Order","Filled ","","Will the **high temp in Miami** be 84-85° on Mar 27 2024?","48e3ca38-94ad-45af-8bc7-521e5093b3be","Mar 27, 2024","1","0","0","0","1","0","","","","","","","","","","","","",""
"Order","Filled ","","Will the **high temp in Miami** be 82-83° on Mar 27 2024?","4d944c57-b077-4f24-b464-7d522017ca12","Mar 27, 2024","1","0","0","0","1","0","","","","","","","","","","","","",""
"Order","Filled ","","Will the high temp in Chicago be 43-44° on Mar 27 2024?","2b95aec1-f64d-40bb-a250-267e02dafefe","Mar 27, 2024","1","0","0","0","1","0","","","","","","","","","","","","",""
"Order","Filled ","","Will the **high temp in NYC** be >59° on Mar 27 2024?","1e7436ed-92d3-4b7f-957c-87fd909278c4","Mar 27, 2024","1","0","0","0","1","0","","","","","","","","","","","","",""
"Trade","","1","Will the **high temp in NYC** be <52° on Mar 27 2024?","8ba1a2f9-192f-4a46-8a2b-86cc63c11357","Mar 27, 2024","","","","","","","99","0.00","Mar 27, 2024 at 6:00PM EDT","Yes","","","","","","","","",""
"Trade","","1","Will the **high temp in NYC** be 52-53° on Mar 27 2024?","3db4e557-42af-4178-a5e2-0d11e08c61ed","Mar 27, 2024","","","","","","","99","0.00","Mar 27, 2024 at 6:00PM EDT","No","","","","","","","","",""
"Trade","","1","Will the high temp in Chicago be 45-46° on Mar 27 2024?","9d78b752-14cc-4d5e-9d45-284afd939aa5","Mar 27, 2024","","","","","","","99","0.00","Mar 27, 2024 at 5:58PM EDT","No","","","","","","","","",""
"Trade","","1","Will the **high temp in Miami** be >85° on Mar 27 2024?","78620366-072e-4b5d-be65-da1d2c645409","Mar 27, 2024","","","","","","","1","0.01","Mar 27, 2024 at 4:53PM EDT","No","","","","","","","","",""
"Trade","","1","Will the **high temp in Miami** be <78° on Mar 27 2024?","f54c78bf-3f9c-4d6b-bfea-59c99ab8ce25","Mar 27, 2024","","","","","","","50","0.02","Mar 27, 2024 at 4:53PM EDT","No","","","","","","","","",""
"Trade","","1","Will the high temp in Chicago be >46° on Mar 27 2024?","ae2f0f9d-f605-4757-9505-6eb3fe2174e2","Mar 27, 2024","","","","","","","99","0.00","Mar 27, 2024 at 2:15PM EDT","Yes","","","","","","","","",""
"Trade","","1","Will the high temp in Chicago be 39-40° on Mar 27 2024?","d94e250f-5ff1-4cc9-a9b2-aad7d95eef35","Mar 27, 2024","","","","","","","99","0.00","Mar 27, 2024 at 12:30PM EDT","No","","","","","","","","",""
"Trade","","1","Will the high temp in Chicago be 41-42° on Mar 27 2024?","6bc0c457-750c-461f-bd8f-9d51021c4812","Mar 27, 2024","","","","","","","1","0.01","Mar 27, 2024 at 12:27PM EDT","No","","","","","","","","",""
"Trade","","1","Will the **high temp in Austin** be >75° on Mar 27 2024?","5a4b6d6b-5452-4106-abe2-2c601fbd986d","Mar 27, 2024","","","","","","","1","0.01","Mar 27, 2024 at 12:12PM EDT","No","","","","","","","","",""
